epoch,loss,lr,mean_absolute_error
0,13.682609073658085,0.001,1.6993071
1,12.267111363152855,0.001,1.1953107
2,11.503054177777235,0.001,1.1252164
3,9.611070269059033,0.001,0.948918
4,6.998966365970791,0.00040000002,0.7668275
5,6.168794588511907,0.00040000002,0.70531505
6,5.473746758128734,0.00040000002,0.67299104
7,5.429999670022903,0.00040000002,0.65711963
8,5.070614763506067,0.00040000002,0.63037455
9,4.554715522823037,0.00016000001,0.59782106
0,13.756742461793843,0.001,1.7813487
1,12.303511379517573,0.001,1.296524
2,10.02293355682911,0.001,1.0717485
0,13.93986905872165,0.001,1.679844
1,11.685827896272826,0.001,1.1958544
2,10.490865516179026,0.001,1.0750837
3,8.714492347327033,0.001,0.9415365
4,6.980956763226052,0.00040000002,0.7682315
5,6.050121394281993,0.00040000002,0.70185846
6,5.529211815336653,0.00040000002,0.66294885
7,5.184117035284794,0.00040000002,0.64185303
8,4.047739333579138,0.00040000002,0.60365164
9,4.441402619443408,0.00016000001,0.5908497
0,13.72562697482972,0.001,1.6903825
1,12.270986064631506,0.001,1.2549781
2,10.268694171621604,0.001,1.1872321
3,8.798258724031575,0.001,0.9393855
4,7.405472024619383,0.00040000002,0.788726
0,13.835304338743883,0.001,1.7350239
1,11.94700570465133,0.001,1.3453571
2,9.732190579905367,0.001,1.0028739
3,8.555602599848315,0.001,0.9068019
4,7.7988933062600125,0.00040000002,0.7906982
5,6.206890116009489,0.00040000002,0.7199927
6,6.09815079420714,0.00040000002,0.6946811
7,5.643906978281715,0.00040000002,0.6836205
8,5.01250184771477,0.00040000002,0.64154637
0,13.577506178020087,0.001,1.6922042
1,11.905021176280998,0.001,1.2484971
2,10.233512705770494,0.001,1.0602343
3,9.009868631444442,0.001,0.9609219
4,7.664352831989772,0.00040000002,0.82915324
5,6.752797355723119,0.00040000002,0.7620638
6,6.231592124665426,0.00040000002,0.7219812
7,5.330801842499655,0.00040000002,0.68987465
8,5.374862852720881,0.00040000002,0.669578
9,5.681581247662372,0.00016000001,0.65747
10,4.815644262972076,0.00016000001,0.6232316
11,4.257577909437315,0.00016000001,0.6020048
12,4.62914947187442,0.00016000001,0.60907525
13,4.486043791394392,0.00016000001,0.5965578
14,4.201206544564115,6.400001e-05,0.5858493
0,14.089041824560638,0.001,1.7326199
1,12.24215673018182,0.001,1.341211
2,10.962327859112431,0.001,1.1631509
3,8.939638288689062,0.001,0.9382121
4,7.050082208664212,0.00040000002,0.7968408
5,6.044689560524411,0.00040000002,0.70680547
6,5.907587887752069,0.00040000002,0.6742303
7,5.1120080931692735,0.00040000002,0.6312927
8,4.866017033550322,0.00040000002,0.6078225
9,4.286082757225168,0.00016000001,0.57734686
10,4.512225343568911,0.00016000001,0.5686988
11,3.9808325353266296,0.00016000001,0.5559028
12,4.318918062372073,0.00016000001,0.55427754
13,3.771955241247456,0.00016000001,0.5398439
14,4.5378287531078785,6.400001e-05,0.5508573
