image_id,breed
7ede553357,crotalus-horridus
3500b219e4,nerodia-sipedon
d43a78d6d9,pantherophis-obsoletus
1f36f26994,lampropeltis-triangulum
8cb85fc58e,pantherophis-obsoletus
7176bcfe9a,pituophis-catenifer
27f2d0f582,nerodia-erythrogaster
43eebba928,storeria-dekayi
180a56f143,heterodon-platirhinos
07fd20e8bd,nerodia-sipedon
d6145eb8ef,pantherophis-obsoletus
43cf88006f,pituophis-catenifer
545094975f,crotalus-atrox
de232d35ce,pantherophis-spiloides
f49f11daf4,storeria-dekayi
be70c24805,crotalus-atrox
8a68c61789,nerodia-sipedon
e4a0afbde5,crotalus-atrox
5d046e4a57,agkistrodon-piscivorus
9450d432f1,heterodon-platirhinos
24ae6b28c9,crotalus-atrox
bbbcf461fd,storeria-dekayi
25f864a129,crotalus-atrox
9d63e29dab,pantherophis-alleghaniensis
560a7820ef,agkistrodon-contortrix
261a672081,pituophis-catenifer
e08cecfcc8,pantherophis-vulpinus
dcbaefa9de,crotalus-horridus
4757eec719,thamnophis-sirtalis
7a5772b7df,opheodrys-aestivus
756a3734d1,crotalus-atrox
bcb51ed4fd,agkistrodon-contortrix
b28a9dbd17,thamnophis-sirtalis
84496bd65b,nerodia-erythrogaster
97254f0a1e,thamnophis-elegans
738e860bf3,nerodia-erythrogaster
5b04af2d08,lampropeltis-triangulum
df1007a11e,thamnophis-sirtalis
71e4a3726c,pituophis-catenifer
9ec71badf5,crotalus-horridus
9aaf30ca4e,storeria-dekayi
502dbd30e8,opheodrys-aestivus
6a0948343e,agkistrodon-contortrix
a9c94931b4,crotalus-horridus
94f8b871bc,thamnophis-sirtalis
65be04e1a7,thamnophis-sirtalis
553b5be83f,nerodia-sipedon
f156e4b9ad,agkistrodon-piscivorus
c195a35480,crotalus-atrox
ba36d77d65,pantherophis-alleghaniensis
ac60cb4c64,masticophis-flagellum
e99babb9da,nerodia-erythrogaster
3f79415b22,agkistrodon-contortrix
07a7f4b8a2,crotalus-horridus
8713b35996,crotalus-horridus
8161aa3270,nerodia-sipedon
c084141ebb,nerodia-rhombifer
3f264dfa93,thamnophis-elegans
ac29145967,nerodia-sipedon
14cc5c0b07,masticophis-flagellum
0d53f3592b,nerodia-erythrogaster
339702c73e,thamnophis-proximus
d9282cfc2f,lampropeltis-californiae
7cbb3598a5,opheodrys-aestivus
7d23dd1a25,agkistrodon-piscivorus
302ae16a4f,nerodia-erythrogaster
665ce5599e,pantherophis-alleghaniensis
7fe9ccee38,thamnophis-sirtalis
b4ee296fbe,storeria-dekayi
463302e361,agkistrodon-contortrix
a18b060715,thamnophis-sirtalis
72b767e027,thamnophis-sirtalis
28c9bd4b10,nerodia-sipedon
a8cf67b3cd,lampropeltis-triangulum
dc0bd440c3,opheodrys-aestivus
1b558cc89f,nerodia-sipedon
23a5181788,nerodia-erythrogaster
17e5f4b5bf,crotalus-viridis
45708c6f17,thamnophis-sirtalis
90e93122c1,pantherophis-obsoletus
9aac958618,pantherophis-guttatus
23f9ca3329,thamnophis-sirtalis
3702f63d72,thamnophis-sirtalis
142b516abc,thamnophis-radix
db55095044,pituophis-catenifer
2532449658,pantherophis-guttatus
521ce40402,thamnophis-elegans
5bdb8079ed,storeria-dekayi
2b88eaac56,thamnophis-sirtalis
f11e311c90,masticophis-flagellum
75b79378c3,pantherophis-obsoletus
8f457bca60,lampropeltis-californiae
4aae3ed36b,opheodrys-aestivus
7e85692fa2,storeria-dekayi
8557e64d0e,heterodon-platirhinos
f590310834,thamnophis-sirtalis
6ce6de9def,agkistrodon-piscivorus
5e13f84aae,thamnophis-sirtalis
3f595dc653,nerodia-erythrogaster
28fc7c65cc,thamnophis-sirtalis
2e6627723a,nerodia-fasciata
759223778f,agkistrodon-contortrix
68e08979eb,pantherophis-obsoletus
b51b666b0a,pantherophis-spiloides
1134c2556d,thamnophis-sirtalis
e10bcc9899,agkistrodon-contortrix
4d84d06252,storeria-dekayi
71792ec7f9,pantherophis-obsoletus
87fff43cf4,pantherophis-obsoletus
d0d91b6a16,coluber-constrictor
b1606f2410,heterodon-platirhinos
f9a3564f88,thamnophis-sirtalis
8bdccf2baf,pantherophis-obsoletus
abbfa54027,crotalus-atrox
ca469b7a27,pituophis-catenifer
95a51a0fcd,pituophis-catenifer
8ef78ef2d3,agkistrodon-piscivorus
e21af6d4b9,agkistrodon-piscivorus
221b1ee2f1,pantherophis-obsoletus
b2c3d5d9fb,pituophis-catenifer
526c9eac74,agkistrodon-contortrix
a38e41fd76,pantherophis-obsoletus
b2ba21f052,crotalus-ruber
3b9b67ba03,agkistrodon-piscivorus
327b772827,lampropeltis-triangulum
2afdb4999f,crotalus-atrox
0cbf1992d0,storeria-dekayi
c822ae5d01,thamnophis-sirtalis
5405370c87,nerodia-sipedon
092388daba,storeria-dekayi
99a3b654d0,crotalus-atrox
e0f8e741d4,storeria-dekayi
5d9cf27241,nerodia-sipedon
632bed91e6,opheodrys-aestivus
83d7c726d0,thamnophis-radix
2555c7e7ce,pantherophis-emoryi
2b9180fb4f,pantherophis-obsoletus
e211c36384,natrix-natrix
06b96eed56,pituophis-catenifer
d8fe032fe4,pantherophis-obsoletus
366c0f8d42,thamnophis-proximus
be80579760,agkistrodon-contortrix
a4ff6226a3,agkistrodon-piscivorus
53da6f2a06,pantherophis-alleghaniensis
509628b6d3,pituophis-catenifer
75206b0c2d,crotalus-ruber
c3e988cbe7,coluber-constrictor
bf3224d5bb,thamnophis-radix
2d45d24990,storeria-dekayi
217a85c6a0,pantherophis-obsoletus
f910b4dafd,thamnophis-sirtalis
dbc89aa6fc,thamnophis-sirtalis
e0c882d7b5,pantherophis-obsoletus
bbd20396ee,opheodrys-aestivus
a9bd8d4550,storeria-dekayi
f9315c3d9d,nerodia-sipedon
c53c61ff1d,agkistrodon-contortrix
ae76c25b30,thamnophis-sirtalis
0554b687c1,crotalus-horridus
8227ee21d5,nerodia-sipedon
e63f970c24,masticophis-flagellum
5a7a965d51,pantherophis-obsoletus
6f885777ae,crotalus-horridus
c63d4c04d9,agkistrodon-piscivorus
d678d67897,pituophis-catenifer
03d156d9ee,thamnophis-sirtalis
39d5cf451b,pantherophis-alleghaniensis
c8583aa3f1,lampropeltis-californiae
72fd0c7625,pantherophis-guttatus
89428de91a,pantherophis-alleghaniensis
e3ad957f8f,crotalus-atrox
4b49ad90af,nerodia-fasciata
e4ff7155e8,heterodon-platirhinos
eaa331f24e,lampropeltis-triangulum
28edbbefda,diadophis-punctatus
aa1015e3c8,heterodon-platirhinos
644033bba9,pantherophis-obsoletus
c612cc9390,coluber-constrictor
6870b31b63,thamnophis-sirtalis
b22d6d545d,thamnophis-proximus
bf1adbeecc,agkistrodon-piscivorus
16e1861f42,pituophis-catenifer
8e7302d0c7,pantherophis-obsoletus
473b09a338,crotalus-horridus
80da1ca7fe,pantherophis-spiloides
c3e38fc290,pantherophis-obsoletus
901a78b5f6,pituophis-catenifer
250946e33d,storeria-dekayi
71bb3b775f,storeria-dekayi
58e653c556,lampropeltis-californiae
ff0d70fb78,thamnophis-proximus
bbbaf02d7b,diadophis-punctatus
a8729cbe08,crotalus-ruber
e754670fa9,storeria-dekayi
d51800edfc,pituophis-catenifer
54705e5068,crotalus-horridus
2d26350d5f,thamnophis-sirtalis
65ea1d3d84,crotalus-atrox
fc2019398b,crotalus-atrox
76bc77c3be,thamnophis-sirtalis
ae5258ea04,pantherophis-emoryi
8d8734a395,opheodrys-aestivus
a6ac17e3d8,lampropeltis-triangulum
2ca8252168,pantherophis-obsoletus
d81bbe11bb,nerodia-sipedon
fb1ea63ee1,crotalus-atrox
d7b6ef28af,pantherophis-obsoletus
fe015ee591,pantherophis-alleghaniensis
e4f9ad2007,thamnophis-sirtalis
26758bec6d,thamnophis-sirtalis
23dd09c2b6,thamnophis-radix
7c34e2cdec,pantherophis-guttatus
6ec294cf12,storeria-dekayi
36d521dbd5,pantherophis-obsoletus
9a6e35d716,haldea-striatula
8bbc299a40,diadophis-punctatus
