image_id,breed
7ede553357,agkistrodon-contortrix
3500b219e4,thamnophis-sirtalis
d43a78d6d9,crotalus-horridus
1f36f26994,thamnophis-elegans
8cb85fc58e,pituophis-catenifer
7176bcfe9a,lampropeltis-triangulum
27f2d0f582,pantherophis-obsoletus
43eebba928,thamnophis-sirtalis
180a56f143,pantherophis-obsoletus
07fd20e8bd,agkistrodon-piscivorus
d6145eb8ef,thamnophis-sirtalis
43cf88006f,pituophis-catenifer
545094975f,crotalus-atrox
de232d35ce,pantherophis-alleghaniensis
f49f11daf4,storeria-dekayi
be70c24805,crotalus-atrox
8a68c61789,opheodrys-aestivus
e4a0afbde5,crotalus-atrox
5d046e4a57,nerodia-sipedon
9450d432f1,agkistrodon-piscivorus
24ae6b28c9,crotalus-atrox
bbbcf461fd,storeria-dekayi
25f864a129,crotalus-atrox
9d63e29dab,pituophis-catenifer
560a7820ef,agkistrodon-piscivorus
261a672081,pituophis-catenifer
e08cecfcc8,pituophis-catenifer
dcbaefa9de,crotalus-horridus
4757eec719,pantherophis-emoryi
7a5772b7df,pituophis-catenifer
756a3734d1,crotalus-horridus
bcb51ed4fd,agkistrodon-piscivorus
b28a9dbd17,thamnophis-sirtalis
84496bd65b,agkistrodon-piscivorus
97254f0a1e,thamnophis-radix
738e860bf3,thamnophis-sirtalis
5b04af2d08,rhinocheilus-lecontei
df1007a11e,agkistrodon-piscivorus
71e4a3726c,pituophis-catenifer
9ec71badf5,pantherophis-alleghaniensis
9aaf30ca4e,storeria-dekayi
502dbd30e8,pantherophis-obsoletus
6a0948343e,crotalus-atrox
a9c94931b4,crotalus-horridus
94f8b871bc,thamnophis-sirtalis
65be04e1a7,opheodrys-aestivus
553b5be83f,pituophis-catenifer
f156e4b9ad,agkistrodon-piscivorus
c195a35480,pituophis-catenifer
ba36d77d65,pantherophis-obsoletus
ac60cb4c64,storeria-dekayi
e99babb9da,agkistrodon-piscivorus
3f79415b22,nerodia-fasciata
07a7f4b8a2,crotalus-atrox
8713b35996,pantherophis-obsoletus
8161aa3270,nerodia-sipedon
c084141ebb,nerodia-sipedon
3f264dfa93,pantherophis-vulpinus
ac29145967,crotalus-viridis
14cc5c0b07,pituophis-catenifer
0d53f3592b,crotalus-atrox
339702c73e,thamnophis-sirtalis
d9282cfc2f,lampropeltis-californiae
7cbb3598a5,opheodrys-aestivus
7d23dd1a25,agkistrodon-piscivorus
302ae16a4f,agkistrodon-contortrix
665ce5599e,pituophis-catenifer
7fe9ccee38,heterodon-platirhinos
b4ee296fbe,storeria-dekayi
463302e361,thamnophis-sirtalis
a18b060715,thamnophis-proximus
72b767e027,thamnophis-sirtalis
28c9bd4b10,agkistrodon-piscivorus
a8cf67b3cd,diadophis-punctatus
dc0bd440c3,opheodrys-aestivus
1b558cc89f,nerodia-sipedon
23a5181788,nerodia-erythrogaster
17e5f4b5bf,crotalus-atrox
45708c6f17,thamnophis-proximus
90e93122c1,crotalus-atrox
9aac958618,lampropeltis-triangulum
23f9ca3329,thamnophis-sirtalis
3702f63d72,thamnophis-sirtalis
142b516abc,thamnophis-sirtalis
db55095044,crotalus-viridis
2532449658,thamnophis-proximus
521ce40402,pituophis-catenifer
5bdb8079ed,pantherophis-vulpinus
2b88eaac56,thamnophis-sirtalis
f11e311c90,pantherophis-obsoletus
75b79378c3,lampropeltis-triangulum
8f457bca60,pituophis-catenifer
4aae3ed36b,thamnophis-sirtalis
7e85692fa2,agkistrodon-contortrix
8557e64d0e,storeria-dekayi
f590310834,crotalus-atrox
6ce6de9def,agkistrodon-contortrix
5e13f84aae,thamnophis-sirtalis
3f595dc653,nerodia-erythrogaster
28fc7c65cc,thamnophis-radix
2e6627723a,nerodia-erythrogaster
759223778f,agkistrodon-contortrix
68e08979eb,agkistrodon-contortrix
b51b666b0a,pantherophis-obsoletus
1134c2556d,pantherophis-vulpinus
e10bcc9899,agkistrodon-contortrix
4d84d06252,thamnophis-sirtalis
71792ec7f9,crotalus-horridus
87fff43cf4,storeria-dekayi
d0d91b6a16,pantherophis-obsoletus
b1606f2410,pituophis-catenifer
f9a3564f88,thamnophis-sirtalis
8bdccf2baf,thamnophis-radix
abbfa54027,crotalus-atrox
ca469b7a27,thamnophis-sirtalis
95a51a0fcd,pantherophis-vulpinus
8ef78ef2d3,pantherophis-spiloides
e21af6d4b9,crotalus-atrox
221b1ee2f1,pantherophis-obsoletus
b2c3d5d9fb,thamnophis-elegans
526c9eac74,crotalus-atrox
a38e41fd76,thamnophis-sirtalis
b2ba21f052,crotalus-scutulatus
3b9b67ba03,crotalus-viridis
327b772827,lampropeltis-triangulum
2afdb4999f,crotalus-horridus
0cbf1992d0,agkistrodon-contortrix
c822ae5d01,thamnophis-radix
5405370c87,nerodia-sipedon
092388daba,storeria-dekayi
99a3b654d0,crotalus-atrox
e0f8e741d4,storeria-dekayi
