image_id,breed
7ede553357,heterodon-platirhinos
3500b219e4,thamnophis-sirtalis
d43a78d6d9,thamnophis-elegans
1f36f26994,thamnophis-sirtalis
8cb85fc58e,pituophis-catenifer
7176bcfe9a,thamnophis-elegans
27f2d0f582,thamnophis-sirtalis
43eebba928,storeria-dekayi
180a56f143,nerodia-sipedon
07fd20e8bd,agkistrodon-piscivorus
d6145eb8ef,pantherophis-alleghaniensis
43cf88006f,pituophis-catenifer
545094975f,crotalus-scutulatus
de232d35ce,pantherophis-obsoletus
f49f11daf4,natrix-natrix
be70c24805,crotalus-horridus
8a68c61789,diadophis-punctatus
e4a0afbde5,thamnophis-sirtalis
5d046e4a57,natrix-natrix
9450d432f1,agkistrodon-piscivorus
24ae6b28c9,crotalus-atrox
bbbcf461fd,agkistrodon-piscivorus
25f864a129,crotalus-viridis
9d63e29dab,pantherophis-alleghaniensis
560a7820ef,agkistrodon-contortrix
261a672081,rhinocheilus-lecontei
e08cecfcc8,pantherophis-obsoletus
dcbaefa9de,pituophis-catenifer
4757eec719,heterodon-platirhinos
7a5772b7df,crotalus-atrox
756a3734d1,lampropeltis-triangulum
bcb51ed4fd,crotalus-horridus
b28a9dbd17,thamnophis-sirtalis
84496bd65b,crotalus-viridis
97254f0a1e,thamnophis-sirtalis
738e860bf3,nerodia-fasciata
5b04af2d08,lampropeltis-triangulum
df1007a11e,agkistrodon-piscivorus
71e4a3726c,pituophis-catenifer
9ec71badf5,crotalus-horridus
9aaf30ca4e,thamnophis-marcianus
502dbd30e8,nerodia-sipedon
6a0948343e,pituophis-catenifer
a9c94931b4,crotalus-viridis
94f8b871bc,natrix-natrix
65be04e1a7,thamnophis-sirtalis
553b5be83f,thamnophis-proximus
f156e4b9ad,crotalus-atrox
c195a35480,pituophis-catenifer
ba36d77d65,nerodia-fasciata
ac60cb4c64,coluber-constrictor
e99babb9da,lampropeltis-triangulum
3f79415b22,natrix-natrix
07a7f4b8a2,pantherophis-emoryi
8713b35996,crotalus-atrox
8161aa3270,nerodia-sipedon
c084141ebb,nerodia-erythrogaster
3f264dfa93,thamnophis-sirtalis
ac29145967,thamnophis-elegans
14cc5c0b07,nerodia-erythrogaster
0d53f3592b,masticophis-flagellum
